DAYS,AAPL,SPX,VIX,SPGSCITR,BNDGLB,EEM,RETURN
324,1.7007,1149.1,14.86,4894.27,236.47,19.6778,-0.008742787
325,1.7086,1151.04,14.55,4778.16,235.31,19.5556,0.004645146
326,1.7971,1154.88,14.4,4839.93,234.61,19.6889,0.051796793
327,1.91,1156.87,14.48,4883.84,234.95,19.7611,0.062823438
330,1.8571,1147.21,15.79,4800.85,237.12,19.5722,-0.027696335
331,1.9357,1140.58,16.6,4779.44,237.33,19.4444,0.042324054
332,1.9771,1123.89,18.67,4766.08,238.02,19,0.021387612
333,1.9393,1106.78,20.67,4866.71,237.43,18.5889,-0.019118912
334,1.9686,1120.57,18.3,4813.36,237.55,18.7444,0.015108544
337,1.8893,1104.49,21.13,4936,237.21,18.3944,-0.040282434
338,1.8443,1110.7,20.34,4944.51,237.33,18.6222,-0.023818345
339,1.8707,1123.75,18.11,5032.85,238.61,18.8778,0.014314374
340,1.8336,1122.32,18.53,5021.36,238.46,18.9889,-0.019832148
341,1.8471,1109.78,19.15,5023.36,238.89,18.7389,0.007362565
344,1.8471,1095.4,21.58,5002.14,238.46,18.4389,0
345,1.8064,1093.95,20.67,5022.87,239.11,18.6244,-0.022034541
346,1.8214,1091.33,19.81,4980.06,239.03,18.6389,0.008303809
347,1.9193,1109.19,17.88,4854.13,239.02,18.8211,0.053749863
348,1.9314,1108.06,17.33,4879.91,238.78,18.7867,0.006304382
351,1.9936,1122.47,16.5,4860.06,237.74,19.0278,0.032204618
352,1.9943,1127,16.28,4973.07,237.48,19.2611,0.000351124
353,1.9314,1126.21,16.74,4951.78,237.43,19.5,-0.031539889
354,1.9364,1132.17,16.65,4858.13,238.74,19.6589,0.002588796
355,1.9643,1141.81,15.64,4844.51,238.6,19.8556,0.01440818
358,2.0229,1150.57,14.97,4828.79,235.85,19.9944,0.02983251
359,1.9879,1148.16,15.32,4887.57,234.75,20.1056,-0.017301893
360,1.9507,1140.53,15.76,4985.51,235.1,20.0333,-0.018713215
361,1.9664,1139.32,16.26,5061.88,235.85,20.05,0.008048393
365,2.0029,1145.2,15.28,5096.45,235.3,20.2044,0.018561839
366,1.9236,1129.44,17.26,5011.14,235.05,19.9689,-0.039592591
367,1.9029,1128.17,15.62,5023.75,233.46,19.6744,-0.010761073
368,2.0929,1128.84,15.74,5043.1,232.58,19.5111,0.099847601
369,2.0843,1134.61,14.94,5033.65,232.48,19.6556,-0.004109131
372,2.025,1135.82,15.42,5011.7,233.39,19.6889,-0.028450799
373,1.9807,1118.15,16.67,4987.04,233.2,19.5167,-0.021876543
374,1.9807,1124.09,15.6,4891.73,232.53,19.3722,0
375,1.9843,1139.93,14.61,4970.45,231.91,19.3667,0.001817539
376,1.9786,1140.6,14.01,4941.59,232.3,19.5111,-0.00287255
379,1.9379,1135.53,14.77,5006.28,231.65,19.2333,-0.0205701
380,1.9243,1138.11,15.07,5082.42,232.03,19.1311,-0.007017906
381,1.8893,1122.41,16.29,5061.86,232.21,18.5833,-0.018188432
382,1.9121,1113.89,16.6,5074.5,231.42,17.9711,0.012067962
383,1.8414,1107.3,17.19,5088.35,231,17.5889,-0.036975054
386,1.8621,1117.49,16.62,5184.13,231.31,17.7656,0.011241447
387,1.8671,1119.55,16.55,5288.17,231.26,18.1133,0.00268514
388,1.9036,1121.53,15.77,5330.26,231.47,18.1578,0.019549033
389,1.8986,1113.99,17.05,5300.89,231.45,17.7811,-0.002626602
390,1.905,1098.7,18.13,5347.08,231.45,17.3811,0.003370905
393,1.8771,1087.12,19.77,5217.67,228.15,16.5422,-0.014645669
394,1.9386,1095.45,18.57,5321.15,227.64,17.0333,0.032763305
395,1.95,1097.28,18.14,5375.81,227.67,17.0389,0.005880532
396,1.9421,1096.44,18.86,5403.67,227.92,16.9944,-0.004051282
397,1.9329,1095.7,18.47,5395.74,227.05,16.5467,-0.00473714
400,1.9029,1084.1,19.96,5396.11,227.73,15.8844,-0.01552072
401,1.9329,1091.49,19.33,5299.09,229.04,16.3567,0.015765411
402,1.8907,1088.68,18.93,5446.43,228.57,16.8089,-0.02183248
403,1.9079,1089.19,18.67,5364.34,228.6,16.7056,0.00909716
404,1.9364,1093.56,18.49,5301.08,228.68,16.98,0.01493789
407,1.9529,1095.41,18.08,5490.4,229.09,17.2444,0.008520967
408,2.0293,1113.05,15.96,5437.54,229.03,17.6244,0.039121307
409,2.0364,1114.94,15.97,5410.29,229.64,17.5556,0.003498743
410,2.0121,1121.28,15.28,5300.05,230.31,17.8333,-0.011932823
411,2.0043,1120.68,15.5,5323.78,231.74,17.7944,-0.003876547
415,2.0043,1121.2,16.3,5575.02,231.13,17.6711,0
416,2.0657,1124.99,16.08,5369.8,230.78,17.6711,0.030634137
417,2.0286,1116.64,17.03,5276.09,230.59,17.2789,-0.017960014
418,2.0557,1122.5,16.78,5204.18,230.49,17.5333,0.013358967
421,2.1293,1140.42,15.39,5220.05,229.98,18.1389,0.03580289
422,2.1679,1142.18,15.01,5112.22,230.66,17.8867,0.018128023
423,2.1571,1131.33,15.39,5122.35,230.6,17.4822,-0.00498178
424,2.1957,1136.47,15.04,5172.03,229.77,17.5022,0.017894395
428,2.1514,1125.29,16.07,5123.2,229.37,16.8278,-0.020175798
429,2.1921,1132.01,15.05,5083.89,228.82,17.1533,0.018917914
430,2.3386,1133.56,14.79,5122.71,230.5,16.9233,0.066830893
431,2.3436,1132.05,15.15,5239.9,229.92,17.0078,0.002138031
432,2.3507,1135.02,14.99,5243.6,230.45,16.9111,0.003029527
435,2.3093,1130.3,15.26,5146,230.87,16.9889,-0.017611775
436,2.3571,1134.41,14.31,5173.89,231.06,17.1689,0.020698913
437,2.4071,1144.06,13.98,5154.53,230.82,17.4744,0.021212507
438,2.37,1140.65,14.81,5206.09,231,17.5444,-0.015412737
439,2.4071,1134.43,15.19,5167.7,232.12,17.7222,0.015654008
442,2.3207,1133.35,16.07,5020.95,231.95,17.5711,-0.035893814
443,2.3214,1136.2,15.47,4966.77,231.25,17.7056,0.000301633
444,2.3243,1140.84,14.34,5073.56,231.3,17.9589,0.001249246
